No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
17080,"LAMB,NZ,IMP,RACK - PARTLY FRENCHED,LN & FAT,RAW",LAMB,240,0.13,18.12,18.52,4.904,0.719,7.229
17083,"LAMB,NZ,IMP,RACK - PARTLY FRENCHED,LN,CKD,FAST RSTD",LAMB,193,0.0,24.43,10.63,2.601,0.503,3.664
17082,"LAMB,NZ,IMP,RACK - PARTLY FRENCHED,LN,RAW",LAMB,160,0.0,20.65,8.61,2.036,0.426,2.782
17415,"LAMB,NZ,IMP,SQUARE-CUT SHLDR CHOPS,LN & FAT,CKD,BRSD",LAMB,322,0.05,26.79,23.86,6.769,1.039,9.596
17416,"LAMB,NZ,IMP,SQUARE-CUT SHLDR CHOPS,LN & FAT,RAW",LAMB,275,0.23,17.02,22.84,6.27,0.849,9.099
17382,"LAMB,NZ,IMP,SQUARE-CUT SHLDR CHOPS,LN,CKD,BRSD",LAMB,255,0.0,31.06,14.56,4.192,0.787,5.476
17383,"LAMB,NZ,IMP,SQUARE-CUT SHLDR CHOPS,LN,RAW",LAMB,164,0.0,20.62,9.08,2.349,0.422,2.769
17417,"LAMB,NZ,IMP,SQUARE-CUT SHLDR,LN & FAT,CKD,SLOW RSTD",LAMB,294,0.03,20.88,23.39,6.446,0.881,9.332
17084,"LAMB,NZ,IMP,SQUARE-CUT SHLDR,LN & FAT,RAW",LAMB,272,0.24,16.16,22.89,6.637,0.968,9.855
17399,"LAMB,NZ,IMP,SQUARE-CUT SHLDR,LN,CKD,SLOW RSTD",LAMB,192,0.0,25.08,10.13,2.646,0.47,3.503
17086,"LAMB,NZ,IMP,SQUARE-CUT SHLDR,LN,RAW",LAMB,154,0.0,19.72,8.3,2.584,0.553,3.371
17362,"LAMB,NZ,IMP,SUBCUTANEOUS FAT,CKD",LAMB,674,0.62,5.24,72.28,19.735,2.314,31.441
17356,"LAMB,NZ,IMP,SUBCUTANEOUS FAT,RAW",LAMB,703,0.55,3.87,76.16,21.703,2.31,32.369
17374,"LAMB,NZ,IMP,SWEETBREAD,CKD,SOAKED & SIMMRD",LAMB,144,0.0,21.13,6.61,1.847,0.393,2.342
17375,"LAMB,NZ,IMP,SWEETBREAD,RAW",LAMB,72,0.0,11.0,3.16,1.122,0.234,1.602
17418,"LAMB,NZ,IMP,TENDERLOIN,LN & FAT,CKD,FAST FRIED",LAMB,157,0.0,27.87,5.0,1.489,0.451,1.882
17423,"LAMB,NZ,IMP,TENDERLOIN,LN & FAT,RAW",LAMB,120,0.01,20.43,4.22,1.61,0.48,2.11
17384,"LAMB,NZ,IMP,TENDERLOIN,LN,CKD,FAST FRIED",LAMB,155,0.0,27.94,4.81,1.433,0.445,1.799
17385,"LAMB,NZ,IMP,TENDERLOIN,LN,RAW",LAMB,116,0.0,20.53,3.81,1.94,0.55,1.26
17376,"LAMB,NZ,IMP,TESTES,CKD,SOAKED & FRIED",LAMB,125,0.0,21.01,4.56,0.731,1.022,1.461
17377,"LAMB,NZ,IMP,TESTES,RAW",LAMB,68,0.14,11.4,2.38,0.357,0.353,0.793
17378,"LAMB,NZ,IMP,TONGUE - SWISS CUT,CKD,SOAKED & SIMMRD",LAMB,272,0.86,17.51,22.04,7.761,1.258,7.341
17379,"LAMB,NZ,IMP,TONGUE - SWISS CUT,RAW",LAMB,225,0.0,14.27,18.61,6.404,1.041,5.896
17421,"LAMB,NZ,IMP,TUN-BND LG,CHMP OFF,SHNK OFF,L & F,CKD,SL RSTD",LAMB,208,0.03,23.41,12.68,3.574,0.591,4.788
17380,"LAMB,NZ,IMP,TUNNEL-BNED LG,CHMP OFF,SHNK OFF,LN,CKD,SLW RSTD",LAMB,159,0.0,25.29,6.44,1.841,0.406,2.035
17381,"LAMB,NZ,IMP,TUNNEL-BONED LEG,CHUMP OFF,SHANK OFF,LN,RAW",LAMB,121,0.0,20.93,4.09,1.272,0.333,1.37
17422,"LAMB,NZ,IMP,TUNNEL-BONED LG,CHUMP OFF,SHANK OFF,LN & FAT,RAW",LAMB,121,0.0,20.93,4.09,1.272,0.333,1.37
