No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
15155,"ABALONE,MIXED SPECIES,RAW",ABALONE,105,6.01,17.1,0.76,0.107,0.104,0.149
15156,"ABALONE,MXD SP,CKD,FRIED",ABALONE,189,11.05,19.63,6.78,2.741,1.676,1.646
9002,"ACEROLA JUICE,RAW",ACEROLA JUICE,23,4.8,0.4,0.3,0.082,0.09,0.068
9001,"ACEROLA,(WEST INDIAN CHERRY),RAW",ACEROLA,32,7.69,0.4,0.3,0.082,0.09,0.068
12060,"ACORN FLOUR,FULL FAT",ACORN FLOUR,501,54.65,7.49,30.17,19.11,5.813,3.923
35182,ACORN STEW (APACHE),ACORN STEW (APACHE),95,9.22,6.81,3.47,1.68,0.297,1.28
12059,"ACORNS,DRIED",ACORNS,509,53.66,8.1,31.41,19.896,6.052,4.084
12058,"ACORNS,RAW",ACORNS,387,40.75,6.15,23.86,15.109,4.596,3.102
35225,"AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",AGUTUK,470,10.5,9.0,43.5,15.6,17.3,8.6
35001,"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",AGUTUK,353,13.4,3.4,31.8,14.4,8.4,7.7
35003,"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",AGUTUK,258,0.9,21.7,18.6,8.7,3.6,5.1
14533,"ALCOHOLIC BEV DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 100PROOF",ALCOHOLIC BEV DISTILLED,295,0.0,0.0,0.0,0.0,0.0,0.0
14006,"ALCOHOLIC BEV,BEER,LT",ALCOHOLIC BEV,29,1.64,0.24,0.0,0.0,0.0,0.0
14248,"ALCOHOLIC BEV,BEER,LT,HIGHER ALCOHOL",ALCOHOLIC BEV,46,0.77,0.25,0.0,0.0,0.0,0.0
14013,"ALCOHOLIC BEV,BEER,LT,LO CARB",ALCOHOLIC BEV,27,0.73,0.17,0.0,0.0,0.0,0.0
14003,"ALCOHOLIC BEV,BEER,REG,ALL",ALCOHOLIC BEV,43,3.55,0.46,0.0,0.0,0.0,0.0
14034,"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",ALCOHOLIC BEV,371,41.6,0.0,0.3,0.015,0.167,0.014
14010,"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",ALCOHOLIC BEV,186,6.94,0.06,0.06,0.006,0.016,0.006
14037,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",ALCOHOLIC BEV,231,0.0,0.0,0.0,0.0,0.0,0.0
14550,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",ALCOHOLIC BEV,250,0.1,0.0,0.0,0.0,0.0,0.0
14551,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",ALCOHOLIC BEV,263,0.0,0.0,0.0,0.0,0.0,0.0
14532,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",ALCOHOLIC BEV,275,0.0,0.0,0.0,0.0,0.0,0.0
14049,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",ALCOHOLIC BEV,263,0.0,0.0,0.0,0.0,0.0,0.0
14050,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",ALCOHOLIC BEV,231,0.0,0.0,0.0,0.0,0.0,0.0
14051,"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",ALCOHOLIC BEV,231,0.0,0.0,0.0,0.0,0.0,0.0
14052,"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",ALCOHOLIC BEV,250,0.1,0.0,0.0,0.0,0.0,0.0
14415,"ALCOHOLIC BEV,LIQUEUR,COFFEE W/ CRM,34 PROOF",ALCOHOLIC BEV,327,20.9,2.8,15.7,4.458,0.669,9.664
14414,"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",ALCOHOLIC BEV,336,46.8,0.1,0.3,0.022,0.105,0.106
14534,"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",ALCOHOLIC BEV,308,32.2,0.1,0.3,0.022,0.105,0.106
14239,"ALCOHOLIC BEV,MALT BEER,HARD LEMONADE",ALCOHOLIC BEV,68,10.07,0.0,0.0,0.0,0.0,0.0
14015,"ALCOHOLIC BEV,PINA COLADA,CND",ALCOHOLIC BEV,237,27.6,0.6,7.6,0.442,0.137,6.571
14017,"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",ALCOHOLIC BEV,174,22.66,0.42,1.88,0.082,0.033,1.636
43479,"ALCOHOLIC BEV,RICE (SAKE)",ALCOHOLIC BEV,134,5.0,0.5,0.0,0.0,0.0,0.0
14531,"ALCOHOLIC BEV,WHISKEY SOUR",ALCOHOLIC BEV,149,13.17,0.0,0.03,0.001,0.012,0.005
14029,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",ALCOHOLIC BEV,153,12.82,0.06,0.06,0.001,0.011,0.005
14025,"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",ALCOHOLIC BEV,164,15.85,0.1,0.02,0.001,0.006,0.003
43154,"ALCOHOLIC BEV,WINE,COOKING",ALCOHOLIC BEV,50,6.3,0.5,0.0,0.0,0.0,0.0
14536,"ALCOHOLIC BEV,WINE,DSSRT,DRY",ALCOHOLIC BEV,152,11.67,0.2,0.0,0.0,0.0,0.0
14057,"ALCOHOLIC BEV,WINE,DSSRT,SWT",ALCOHOLIC BEV,160,13.69,0.2,0.0,0.0,0.0,0.0
43155,"ALCOHOLIC BEV,WINE,LT",ALCOHOLIC BEV,49,1.17,0.07,0.0,0.0,0.0,0.0
14084,"ALCOHOLIC BEV,WINE,TABLE,ALL",ALCOHOLIC BEV,83,2.72,0.07,0.0,0.0,0.0,0.0
14096,"ALCOHOLIC BEV,WINE,TABLE,RED",ALCOHOLIC BEV,85,2.61,0.07,0.0,0.0,0.0,0.0
14106,"ALCOHOLIC BEV,WINE,TABLE,WHITE",ALCOHOLIC BEV,82,2.6,0.07,0.0,0.0,0.0,0.0
14251,"ALCOHOLIC BEVERAGES,BEER,HIGHER ALCOHOL",ALCOHOLIC BEVERAGES,58,0.27,0.9,0.0,0.0,0.0,0.0
14253,"ALCOHOLIC BEVERAGES,WINE,ROSE",ALCOHOLIC BEVERAGES,83,3.8,0.36,0.0,0.0,0.0,0.0
11001,"ALFALFA SEEDS,SPROUTED,RAW",ALFALFA SEEDS,23,2.1,3.99,0.69,0.056,0.409,0.069
2001,"ALLSPICE,GROUND",ALLSPICE,263,72.12,6.09,8.69,0.66,2.36,2.55
12695,"ALMOND BUTTER,PLN,W/SALT",ALMOND BUTTER,614,18.82,20.96,55.5,32.445,13.613,6.55
12195,"ALMOND BUTTER,PLN,WO/SALT",ALMOND BUTTER,614,18.82,20.96,55.5,32.445,13.613,4.152
12071,ALMOND PASTE,ALMOND PASTE,458,47.81,9.0,27.74,18.012,5.821,2.629
12061,ALMONDS,ALMONDS,579,21.55,21.15,49.93,31.551,12.329,3.802
12062,"ALMONDS,BLANCHED",ALMONDS,590,18.67,21.4,52.52,33.415,12.368,3.953
12563,"ALMONDS,DRY RSTD,W/SALT",ALMONDS,598,21.01,20.96,52.54,33.076,12.955,4.092
12063,"ALMONDS,DRY RSTD,WO/SALT",ALMONDS,598,21.01,20.96,52.54,33.076,12.955,4.092
12206,"ALMONDS,HONEY RSTD,UNBLANCHED",ALMONDS,594,27.9,18.17,49.9,32.402,10.472,4.73
12565,"ALMONDS,OIL RSTD,W/SALT",ALMONDS,607,17.68,21.23,55.17,34.793,13.519,4.208
12065,"ALMONDS,OIL RSTD,WO/SALT",ALMONDS,607,17.68,21.23,55.17,34.793,13.519,4.208
20001,"AMARANTH GRAIN,UNCKD",AMARANTH GRAIN,371,65.25,13.56,7.02,1.685,2.778,1.459
11700,"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",AMARANTH LEAVES,21,4.11,2.11,0.18,0.041,0.08,0.05
11004,"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",AMARANTH LEAVES,21,4.11,2.11,0.18,0.041,0.08,0.05
11003,"AMARANTH LEAVES,RAW",AMARANTH LEAVES,23,4.02,2.46,0.33,0.076,0.147,0.091
15002,"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",ANCHOVY,210,0.0,28.89,9.71,3.77,2.562,2.203
15001,"ANCHOVY,EUROPEAN,RAW",ANCHOVY,131,0.0,20.35,4.84,1.182,1.637,1.282
4609,"ANIMAL FAT,BACON GREASE",ANIMAL FAT,897,0.0,0.0,99.5,44.874,11.144,39.004
2002,ANISE SEED,ANISE SEED,337,50.02,17.6,15.9,9.78,3.15,0.586
9400,"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",APPLE JUC,46,11.3,0.1,0.13,0.006,0.039,0.022
9517,"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C,CA,& K",APPLE JUC,48,11.49,0.12,0.17,0.008,0.051,0.029
9016,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",APPLE JUC,46,11.3,0.1,0.13,0.006,0.039,0.022
9018,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",APPLE JUC,47,11.54,0.14,0.1,0.002,0.031,0.018
9411,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C",APPLE JUC,47,11.54,0.14,0.1,0.002,0.031,0.018
9410,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C",APPLE JUC,166,41.0,0.51,0.37,0.015,0.108,0.06
9017,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",APPLE JUC,166,41.0,0.51,0.37,0.015,0.108,0.06
36000,"APPLEBEE'S,9 OZ HOUSE SIRLOIN STEAK",APPLEBEE'S,189,0.0,26.85,9.08,4.35,0.532,3.477
36023,"APPLEBEE'S,CHICK TENDERS PLATTER",APPLEBEE'S,297,17.98,19.62,16.24,4.385,7.042,2.849
36005,"APPLEBEE'S,CHICK TENDERS,FROM KIDS' MENU",APPLEBEE'S,296,18.36,19.25,16.15,3.568,7.894,2.852
36019,"APPLEBEE'S,CHILI",APPLEBEE'S,157,4.57,12.56,9.79,4.809,0.644,4.15
36021,"APPLEBEE'S,COLESLAW",APPLEBEE'S,120,13.17,0.79,7.09,1.404,3.819,1.061
36022,"APPLEBEE'S,CRUNCHY ONION RINGS",APPLEBEE'S,356,40.17,4.58,19.61,4.408,10.255,3.574
36001,"APPLEBEE'S,DOUBLE CRUNCH SHRIMP",APPLEBEE'S,323,25.96,12.31,18.9,4.235,9.682,3.366
36018,"APPLEBEE'S,FISH,HAND BATTERED",APPLEBEE'S,202,16.65,13.23,9.14,2.014,4.559,1.613
36002,"APPLEBEE'S,FRENCH FR",APPLEBEE'S,290,39.5,3.31,13.17,3.31,5.802,2.333
36003,"APPLEBEE'S,KRAFT,MACARONI & CHS,FROM KID'S MENU",APPLEBEE'S,143,21.08,5.01,4.34,1.951,0.952,1.312
36004,"APPLEBEE'S,MOZZARELLA STKS",APPLEBEE'S,316,22.87,14.87,18.37,4.217,4.58,6.73
9008,"APPLES,CND,SWTND,SLICED,DRND,HTD",APPLES,67,16.84,0.18,0.43,0.017,0.126,0.07
9007,"APPLES,CND,SWTND,SLICED,DRND,UNHTD",APPLES,67,16.7,0.18,0.49,0.02,0.144,0.08
9010,"APPLES,DEHYD (LO MOIST),SULFURED,STWD",APPLES,74,19.91,0.28,0.12,0.005,0.036,0.02
9009,"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",APPLES,346,93.53,1.32,0.58,0.024,0.171,0.095
9013,"APPLES,DRIED,SULFURED,STWD,W/ SUGAR",APPLES,83,20.73,0.2,0.07,0.003,0.02,0.011
9012,"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR",APPLES,57,15.32,0.22,0.07,0.003,0.022,0.012
9011,"APPLES,DRIED,SULFURED,UNCKD",APPLES,243,65.89,0.93,0.32,0.013,0.093,0.052
9015,"APPLES,FRZ,UNSWTND,HTD",APPLES,47,12.0,0.29,0.33,0.013,0.095,0.053
9014,"APPLES,FRZ,UNSWTND,UNHTD",APPLES,48,12.31,0.28,0.32,0.013,0.095,0.053
9003,"APPLES,RAW,WITH SKIN",APPLES,52,13.81,0.26,0.17,0.007,0.051,0.028
9004,"APPLES,RAW,WITHOUT SKIN",APPLES,48,12.76,0.27,0.13,0.005,0.037,0.021
9006,"APPLES,RAW,WO/ SKN,CKD,MICROWAVE",APPLES,56,14.41,0.28,0.42,0.017,0.122,0.068
9005,"APPLES,RAW,WO/SKN,CKD,BLD",APPLES,53,13.64,0.26,0.36,0.014,0.104,0.058
9402,"APPLESAUCE,CND,SWTND,W/SALT",APPLESAUCE,76,19.91,0.18,0.18,0.007,0.054,0.03
9020,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",APPLESAUCE,68,17.49,0.16,0.17,0.007,0.054,0.03
9401,"APPLESAUCE,CND,UNSWTND,W/ VIT C",APPLESAUCE,42,11.27,0.17,0.1,0.002,0.014,0.008
9019,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",APPLESAUCE,42,11.27,0.17,0.1,0.002,0.014,0.008
9403,"APRICOT NECTAR,CND,W/ VIT C",APRICOT NECTAR,56,14.39,0.37,0.09,0.038,0.017,0.006
9036,"APRICOT NECTAR,CND,WO/ VIT C",APRICOT NECTAR,56,14.39,0.37,0.09,0.038,0.017,0.006
9029,"APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",APRICOTS,96,24.85,0.55,0.04,0.017,0.008,0.003
9025,"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",APRICOTS,49,12.5,0.6,0.1,0.043,0.02,0.007
9022,"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",APRICOTS,27,6.39,0.71,0.16,0.069,0.031,0.011
9023,"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",APRICOTS,22,5.48,0.69,0.03,0.013,0.006,0.002
9027,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS",APRICOTS,83,21.47,0.53,0.08,0.033,0.015,0.005
9028,"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",APRICOTS,83,21.45,0.51,0.09,0.037,0.017,0.006
9357,"APRICOTS,CND,HVY SYRUP,DRND",APRICOTS,83,21.31,0.64,0.11,0.045,0.021,0.007
9024,"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS",APRICOTS,48,12.34,0.63,0.04,0.017,0.007,0.003
9026,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS",APRICOTS,63,16.49,0.53,0.05,0.021,0.01,0.003
9031,"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD",APRICOTS,126,32.62,1.93,0.24,0.105,0.047,0.017
9030,"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",APRICOTS,320,82.89,4.9,0.62,0.268,0.121,0.043
9034,"APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR",APRICOTS,113,29.26,1.17,0.15,0.064,0.029,0.01
9033,"APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR",APRICOTS,85,22.15,1.2,0.18,0.026,0.026,0.006
9032,"APRICOTS,DRIED,SULFURED,UNCKD",APRICOTS,241,62.64,3.39,0.51,0.074,0.074,0.017
9035,"APRICOTS,FROZEN,SWEETENED",APRICOTS,98,25.1,0.7,0.1,0.044,0.02,0.007
9021,"APRICOTS,RAW",APRICOTS,48,11.12,1.4,0.39,0.17,0.077,0.027
21527,"ARBY'S,RST BF SNDWCH,CLASSIC",ARBY'S,242,22.21,15.17,10.3,3.987,1.762,3.399
18529,"ARCHWAY HOME STYLE COOKIES,FROSTY LEMON",ARCHWAY HOME STYLE COOKIES,430,64.78,4.41,17.11,5.75,0.92,5.83
18541,"ARCHWAY HOME STYLE COOKIES,PNUT BUTTER",ARCHWAY HOME STYLE COOKIES,480,58.48,9.0,24.28,10.21,4.23,5.39
18544,"ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED",ARCHWAY HOME STYLE COOKIES,400,65.92,4.35,13.26,4.14,1.1,5.16
18513,"ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL",ARCHWAY HOME STYLE COOKIES,442,67.2,5.54,20.92,7.86,1.31,4.9
18522,"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",ARCHWAY Home Style Cookies,497,65.02,4.28,24.4,8.94,1.43,8.08
18524,"ARCHWAY Home Style Cookies, Coconut Macaroon",ARCHWAY Home Style Cookies,460,61.23,3.02,22.55,1.61,0.81,20.1
18527,"ARCHWAY Home Style Cookies, Date Filled Oatmeal",ARCHWAY Home Style Cookies,400,68.16,4.67,12.05,4.82,1.11,2.76
18528,"ARCHWAY Home Style Cookies, Dutch Cocoa",ARCHWAY Home Style Cookies,431,69.44,4.5,14.99,5.94,1.18,3.62
18532,"ARCHWAY Home Style Cookies, Iced Molasses",ARCHWAY Home Style Cookies,420,69.12,3.5,14.43,4.75,2.44,4.16
18533,"ARCHWAY Home Style Cookies, Iced Oatmeal",ARCHWAY Home Style Cookies,435,66.76,4.89,16.53,5.61,2.72,4.61
18535,"ARCHWAY Home Style Cookies, Molasses",ARCHWAY Home Style Cookies,403,69.41,4.25,12.06,4.86,1.05,2.81
18537,"ARCHWAY Home Style Cookies, Oatmeal",ARCHWAY Home Style Cookies,421,68.17,5.48,14.08,5.66,1.33,3.2
18538,"ARCHWAY Home Style Cookies, Oatmeal Raisin",ARCHWAY Home Style Cookies,406,69.27,5.17,12.08,4.85,1.16,2.75
18539,"ARCHWAY Home Style Cookies, Old Fashioned Molasses",ARCHWAY Home Style Cookies,406,70.55,4.27,11.83,4.8,1.0,2.77
18540,"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",ARCHWAY Home Style Cookies,468,72.23,5.17,17.55,7.82,1.67,3.75
18562,"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",ARCHWAY Home Style Cookies,424,76.23,4.67,11.14,3.58,1.65,2.6
18547,"ARCHWAY Home Style Cookies, Strawberry Filled",ARCHWAY Home Style Cookies,400,65.92,4.35,13.26,4.14,1.1,5.16
20003,ARROWROOT FLOUR,ARROWROOT FLOUR,357,88.15,0.3,0.1,0.002,0.045,0.019
11697,"ARROWROOT,RAW",ARROWROOT,65,13.39,4.24,0.2,0.004,0.092,0.039
11702,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",ARTICHOKES,51,11.39,2.89,0.34,0.011,0.145,0.079
11008,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",ARTICHOKES,53,11.95,2.89,0.34,0.011,0.145,0.079
11703,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",ARTICHOKES,45,9.18,3.11,0.5,0.015,0.216,0.119
11010,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",ARTICHOKES,45,9.18,3.11,0.5,0.015,0.216,0.119
11009,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",ARTICHOKES,38,7.75,2.63,0.43,0.012,0.179,0.099
11007,"ARTICHOKES,(GLOBE OR FRENCH),RAW",ARTICHOKES,47,10.51,3.27,0.15,0.005,0.064,0.036
18566,"ARTIFICIAL BLUEBERRY MUFFIN MIX,DRY",ARTIFICIAL BLUEBERRY MUFFIN MIX,407,77.45,4.7,8.7,3.742,1.679,1.865
11959,"ARUGULA,RAW",ARUGULA,25,3.65,2.58,0.66,0.049,0.319,0.086
35004,ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),20,0.0,3.8,0.5,0.12,0.2,0.1
11012,"ASPARAGUS,CKD,BLD,DRND",ASPARAGUS,22,4.11,2.4,0.22,0.0,0.105,0.048
11705,"ASPARAGUS,CKD,BLD,DRND,W/SALT",ASPARAGUS,22,4.11,2.4,0.22,0.0,0.105,0.048
11015,"ASPARAGUS,CND,DRND SOL",ASPARAGUS,19,2.46,2.14,0.65,0.021,0.284,0.147
11707,"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",ASPARAGUS,15,2.48,1.8,0.18,0.006,0.079,0.041
11013,"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",ASPARAGUS,15,2.48,1.8,0.18,0.006,0.085,0.044
11709,"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",ASPARAGUS,18,1.92,2.95,0.42,0.013,0.185,0.096
11019,"ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT",ASPARAGUS,18,1.92,2.95,0.42,0.013,0.185,0.096
11018,"ASPARAGUS,FRZ,UNPREP",ASPARAGUS,24,4.1,3.23,0.23,0.007,0.101,0.052
11011,"ASPARAGUS,RAW",ASPARAGUS,20,3.88,2.2,0.12,0.0,0.05,0.04
18984,"AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE",AUSTIN,494,60.0,7.5,24.9,5.4,12.1,6.1
18987,"AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE,RED FAT",AUSTIN,461,68.0,7.8,17.5,3.7,8.4,4.4
28258,"AUSTIN,CHEDDAR CHS ON WAFER CRACKERS,SANDWICH-TYPE",AUSTIN,489,62.6,7.8,23.0,4.9,11.0,5.8
18983,"AUSTIN,CHEDDAR CHS ON WHEAT CRACKERS,SANDWICH-TYPE",AUSTIN,495,61.4,7.9,24.5,5.3,11.8,6.1
18985,"AUSTIN,CHOCOLATEY PNUT BUTTER CRACKERS,SANDWICH-TYPE",AUSTIN,479,66.2,7.7,20.8,5.8,9.2,4.1
18986,"AUSTIN,GRILLED CHS ON WAFER CRACKERS,SANDWICH-TYPE",AUSTIN,493,62.0,7.9,23.8,5.0,11.0,5.9
18990,"AUSTIN,PB & J CRACKERS,SANDWICH-TYPE",AUSTIN,484,65.7,7.6,21.7,5.9,9.6,4.5
28256,"AUSTIN,PNUT BUTTER ON CHS CRACKERS,SANDWICH-TYPE",AUSTIN,492,59.0,10.8,24.5,8.4,12.0,3.7
18988,"AUSTIN,PNUT BUTTER ON CHS CRACKERS,SANDWICH-TYPE,RED FAT",AUSTIN,461,66.3,9.7,17.9,6.0,6.3,2.9
28257,"AUSTIN,PNUT BUTTER ON TOASTY CRACKERS,SANDWICH-TYPE",AUSTIN,489,60.2,10.6,23.8,8.2,8.5,3.6
18989,"AUSTIN,PNUT BUTTER ON TOASTY CRACKERS,SANDWICH-TYPE,RED FAT",AUSTIN,463,67.2,9.5,18.0,6.0,6.4,2.9
9037,"AVOCADOS,RAW,ALL COMM VAR",AVOCADOS,160,8.53,2.0,14.66,9.799,1.816,2.126
9038,"AVOCADOS,RAW,CALIFORNIA",AVOCADOS,167,8.64,1.96,15.41,9.799,1.816,2.126
9039,"AVOCADOS,RAW,FLORIDA",AVOCADOS,120,7.82,2.23,10.06,5.513,1.676,1.96
3994,"BABYFD,FRU,BAN AND STRAW, JU",BABYFD,109,25.78,0.71,0.37,0.036,0.084,0.121
3998,"BABYFD,SNK,GE,GRAD,LIL CRUNCH,BKD,WHLGRN,CORN SNK",BABYFD,503,61.59,0.0,28.57,14.682,7.698,4.669
3995,"BABYFOO,BAN WI MIX BERR,ST",BABYFOO,92,21.31,1.01,0.36,0.036,0.123,0.081
3072,BABYFOOD  DINNER  CHICK STEW  TODD,BABYFOOD  DINNER  CHICK STEW  TODD,78,6.4,5.2,3.7,1.7,0.77,1.1
42150,"BABYFOOD,APPL YOGURT DSSRT,STR",BABYFOOD,96,19.5,0.8,1.6,0.438,0.044,1.034
3167,"BABYFOOD,APPLE-BANANA JUC",BABYFOOD,51,12.3,0.2,0.1,0.004,0.034,0.018
3169,"BABYFOOD,APPLE-CRANBERRY JUC",BABYFOOD,46,11.49,0.0,0.02,0.001,0.012,0.007
3289,"BABYFOOD,APPLS W/HAM,STR",BABYFOOD,62,10.9,2.6,0.9,0.36,0.111,0.25
3115,"BABYFOOD,APPLS,DICES,TODD",BABYFOOD,51,12.1,0.2,0.1,0.004,0.03,0.02
3997,"BABYFOOD,BABY MUM MUM RICE BISCUITS",BABYFOOD,391,83.21,12.5,0.87,0.224,0.255,0.238
43550,"BABYFOOD,BANANA APPL DSSRT,STR",BABYFOOD,68,16.3,0.3,0.2,0.018,0.047,0.058
42119,"BABYFOOD,BANANA JUC W/LOFAT YOGURT",BABYFOOD,89,17.54,2.5,0.8,0.219,0.022,0.517
43546,"BABYFOOD,BANANA NO TAPIOCA,STR",BABYFOOD,91,21.34,1.0,0.2,0.028,0.041,0.072
42284,"BABYFOOD,BKD PRODUCT,FINGER SNACKS CRL FORT",BABYFOOD,421,76.68,6.4,9.9,3.13,3.638,1.646
3290,"BABYFOOD,CARROTS&BF,STR",BABYFOOD,59,5.7,3.4,2.5,1.06,0.13,0.96
42316,"BABYFOOD,CARROTS,TODDLER",BABYFOOD,26,5.23,0.6,0.3,0.012,0.148,0.052
3222,"BABYFOOD,CHERRY COBBLER,JR",BABYFOOD,78,19.2,0.3,0.1,0.02,0.03,0.02
3206,"BABYFOOD,COOKIE,BABY,FRUIT",BABYFOOD,435,73.7,6.8,12.6,4.865,4.334,2.7
3213,"BABYFOOD,COOKIES",BABYFOOD,433,67.1,11.8,13.2,5.99,2.878,2.352
3214,"BABYFOOD,COOKIES,ARROWROOT",BABYFOOD,424,75.4,7.6,10.0,7.922,0.591,1.048
3934,"BABYFOOD,CORN & SWT POTATOES,STR",BABYFOOD,68,15.23,1.26,0.28,0.071,0.123,0.053
3209,"BABYFOOD,CRACKERS,VEG",BABYFOOD,477,66.85,8.4,19.6,15.779,1.022,1.966
3181,"BABYFOOD,CRL,BARLEY,DRY FORT",BABYFOOD,376,69.4,13.2,6.6,1.45,3.859,0.894
3681,"BABYFOOD,CRL,BARLEY,PREP W/WHL MILK",BABYFOOD,84,9.94,3.73,3.26,0.802,0.309,1.76
42285,"BABYFOOD,CRL,BROWN RICE,DRY,INST",BABYFOOD,406,85.98,8.7,3.0,1.085,1.072,0.61
3201,"BABYFOOD,CRL,EGG YOLKS&BACON,JR",BABYFOOD,79,6.2,2.5,5.0,2.207,0.641,1.64
3211,"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",BABYFOOD,374,57.6,25.4,6.5,1.231,3.429,0.96
3185,"BABYFOOD,CRL,MXD,DRY FORT",BABYFOOD,399,78.21,6.66,6.66,1.206,1.697,0.769
3685,"BABYFOOD,CRL,MXD,PREP W/WHL MILK",BABYFOOD,96,12.3,4.14,3.38,0.855,0.359,1.745
3188,"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR,FORT",BABYFOOD,84,18.79,0.71,0.51,0.108,0.152,0.072
3187,"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,STR",BABYFOOD,82,18.38,0.71,0.51,0.135,0.191,0.09
3186,"BABYFOOD,CRL,MXD,W/ BANANAS,DRY",BABYFOOD,391,77.1,10.7,4.6,1.223,1.734,0.846
