,0,1
0,-11.827961,-32.04308
1,13.443113,-1.1108218
2,-62.286602,-0.43208718
3,-62.000854,-38.137486
4,-66.77205,-27.101019
5,39.987885,57.185833
6,-13.431255,11.922625
7,40.089684,57.201344
8,36.912155,56.809536
9,0.018249307,-11.908497
10,-4.1266117,35.32759
11,-0.17937669,-12.258733
12,59.695015,39.758106
13,52.854843,24.197613
14,37.324356,-14.4440155
15,-60.591007,-65.78144
16,-58.840576,-61.829987
17,-58.770405,-61.935
18,-58.604225,-62.07665
19,-58.97949,-62.464413
20,-58.499435,-62.11978
21,-63.34377,-60.179028
22,-63.315773,-60.239635
23,-70.31787,21.46258
24,-88.9034,1.9276446
25,-90.33898,1.8618723
26,-60.56771,-65.7615
27,-60.596184,-65.765396
28,-60.58131,-65.77352
29,-60.585247,-65.7767
30,-60.58131,-65.77352
31,-60.56771,-65.7615
32,-60.56771,-65.7615
33,-60.596184,-65.765396
34,-0.17695247,26.732428
35,-70.297775,21.482235
36,-70.38161,21.232243
37,-89.47319,-13.753194
38,0.74112463,21.304586
39,-24.93386,6.3706913
40,-65.47856,-62.6348
41,-89.3861,1.3432746
42,-89.16719,1.9202031
43,-89.06502,1.7249147
44,-89.235504,1.9147267
45,-89.07556,2.155791
46,-69.043594,-26.372974
47,-89.397766,1.7914351
48,-89.233925,2.013827
49,-59.460293,-62.382645
50,-63.47448,-62.839073
51,-63.48548,-63.626564
52,-63.78777,-63.413044
53,-64.48936,-62.93439
54,-63.13047,-63.67222
55,-63.29094,-62.89845
56,-62.807167,-62.790577
57,-63.946537,-63.133797
58,-62.810303,-62.93863
59,-62.966713,-62.91682
60,-63.229984,-63.591316
61,-63.594868,-63.724007
62,-63.614708,-63.519955
63,-62.842552,-63.48431
64,-63.527744,-63.68043
65,-63.294724,-63.121105
66,-63.91942,-63.47709
67,-63.269466,-62.819183
68,-62.7314,-63.72663
69,-64.12479,-62.86641
70,-62.832157,-63.65075
71,-63.258392,-62.781704
72,-89.09735,1.6422638
73,-89.25972,1.4624578
74,-64.15782,-62.601143
75,-65.1593,-62.463814
76,-62.319546,-63.36802
77,-62.499264,-63.49264
78,-64.46671,-62.783264
79,-62.432026,-63.240253
80,-63.92458,-62.832073
81,-58.749294,-63.030277
82,-64.778366,-62.6727
83,-32.347706,-35.0942
84,-2.7294662,52.806618
85,66.38395,43.6712
86,67.51022,41.77687
87,39.39179,57.09043
88,67.73306,41.718052
89,67.70654,41.738083
90,67.637726,41.861767
91,67.63771,41.86177
92,67.933784,42.799362
93,67.52187,41.767982
94,67.52187,41.767982
95,-16.149593,18.288893
96,-7.322829,50.90611
97,-37.386795,-39.226856
98,-37.386795,-39.226856
99,-36.408367,-36.140366
100,28.884758,-30.8149
101,6.6487055,-47.542313
102,26.802921,70.82597
103,71.13537,15.474074
104,23.41919,53.225674
105,-83.611664,-14.662219
106,-83.37995,-14.42042
107,-83.611664,-14.662219
108,-82.96845,-14.153335
109,-82.96845,-14.153335
110,-70.282425,16.70045
111,-70.282425,16.700449
112,57.70995,-53.576775
113,33.468414,21.655397
114,33.68463,21.987425
115,19.252285,-15.268171
116,-2.3424733,0.28706852
117,34.310772,44.35704
118,34.827335,23.17271
119,11.312726,2.1072507
120,24.21142,41.31185
121,-3.2230442,16.090279
122,25.796007,17.713102
123,-79.029144,0.3790064
124,-78.964714,0.34252468
125,-79.540855,3.912503
126,-56.335022,40.384296
127,-80.69026,4.554195
128,-83.592926,-2.9629242
