,0,1
0,-8.989075,31.090435
1,13.958134,-1.3963675
2,-18.659637,1.305004
3,-62.319298,37.886383
4,-65.32097,28.692196
5,35.699837,-56.43298
6,-13.554786,-9.84968
7,35.73658,-56.48309
8,34.39382,-55.269005
9,-13.317717,-0.21470487
10,-10.157285,-31.843052
11,-13.262353,0.07101414
12,48.56341,-25.466818
13,47.355953,-26.625433
14,39.3352,13.366009
15,-62.486294,65.837135
16,-60.351067,62.11869
17,-60.277428,62.23652
18,-60.104256,62.40441
19,-60.52219,62.757057
20,-59.99854,62.463245
21,-64.24933,60.20856
22,-64.23579,60.28833
23,-71.77289,-22.374987
24,-88.66243,-1.2946615
25,-90.19665,-1.0450156
26,-62.45901,65.818985
27,-62.49028,65.82042
28,-62.47502,65.82983
29,-62.479572,65.83283
30,-62.47502,65.82983
31,-62.45901,65.818985
32,-62.45901,65.818985
33,-62.49028,65.82042
34,-1.2355977,-22.789219
35,-71.751175,-22.393019
36,-71.84124,-22.144754
37,-87.718155,15.335303
38,-2.265239,-17.974075
39,-66.56804,-2.124182
40,-67.2403,62.616203
41,-89.19215,-0.61817414
42,-89.01126,-1.2083133
43,-88.89507,-1.0254209
44,-89.08353,-1.1946303
45,-88.951996,-1.4512748
46,-66.84434,26.225004
47,-89.23853,-1.0570974
48,-89.09943,-1.2890558
49,-61.007008,62.61967
50,-65.20819,62.640686
51,-65.26257,63.53886
52,-65.54034,63.188488
53,-66.231155,62.661926
54,-64.89939,63.516468
55,-65.055244,62.789383
56,-64.51158,62.692497
57,-65.6992,62.93964
58,-64.52384,62.786404
59,-64.68884,62.753197
60,-64.944305,63.301704
61,-65.3524,63.58003
62,-65.430916,63.416
63,-64.63211,63.458652
64,-65.293526,63.554214
65,-65.04487,62.99868
66,-65.70197,63.350204
67,-65.00875,62.661964
68,-64.52717,63.663677
69,-65.81557,62.558197
70,-64.56766,63.449177
71,-64.99429,62.633907
72,-88.926865,-0.9323387
73,-89.07205,-0.7426781
74,-65.91963,62.417164
75,-67.12001,61.892006
76,-64.0789,63.280464
77,-64.26447,63.421593
78,-66.20295,62.470577
79,-64.192245,63.19109
80,-65.79578,62.889626
81,-60.311222,63.360504
82,-66.57381,62.621307
83,-32.715313,40.227005
84,-1.199157,-54.62983
85,67.6525,-45.089146
86,68.439354,-42.74962
87,35.451096,-56.12164
88,68.37678,-42.894398
89,68.55907,-42.726707
90,68.49744,-42.901714
91,68.49744,-42.901714
92,69.01664,-43.81067
93,68.531204,-42.647316
94,68.531204,-42.647316
95,-11.673279,-0.30767152
96,-6.0474377,-52.24211
