,0,1
0,-10.804307,-27.390484
1,13.875143,-1.8643672
2,-58.51878,2.296319
3,-61.609608,-37.720703
4,-65.5661,-27.586258
5,32.57416,62.925392
6,-10.145233,9.547708
7,32.631283,62.93275
8,30.647537,62.18601
9,-67.18745,14.633781
10,-52.944366,44.018356
11,-75.15002,-1.1391965
12,59.75533,45.140076
13,43.21566,22.813282
14,37.254284,-15.14137
15,-60.26503,-64.68919
16,-58.18599,-60.9211
17,-58.11417,-61.034092
18,-57.941162,-61.192867
19,-58.350388,-61.548386
20,-57.83214,-61.245865
21,-62.5024,-59.078735
22,-62.48289,-59.159084
23,-68.49417,24.056198
24,-86.75807,2.7025356
25,-88.17634,2.4962833
26,-60.24154,-64.67305
27,-60.269066,-64.674095
28,-60.255287,-64.68273
29,-60.259235,-64.6854
30,-60.255287,-64.68273
31,-60.24154,-64.67305
32,-60.24154,-64.67305
33,-60.269066,-64.674095
34,-0.40682417,24.882196
35,-68.47439,24.088564
36,-68.56568,23.8144
37,-87.53342,-14.5638895
38,-7.531481,27.396347
39,-32.650898,1.6491501
40,-64.98573,-61.484497
41,-87.184296,2.08059
42,-87.01687,2.6676595
43,-86.900536,2.486579
44,-87.08313,2.6556005
45,-86.94357,2.9056044
46,-67.3971,-26.411684
47,-87.229935,2.5207393
48,-87.08794,2.7502115
49,-58.833202,-61.422554
50,-63.003128,-61.57084
51,-62.98405,-62.412174
52,-63.29732,-62.144054
53,-63.996,-61.71573
54,-62.612724,-62.330296
55,-62.82502,-61.6242
56,-62.31332,-61.561058
57,-63.500904,-61.984943
58,-62.30951,-61.678947
59,-62.48014,-61.660973
60,-62.710503,-62.31319
61,-63.07675,-62.468323
62,-63.105473,-62.234188
63,-62.26866,-61.998306
64,-63.017452,-62.44075
65,-62.815147,-61.912415
66,-63.421444,-62.255104
67,-62.805122,-61.581768
68,-62.27923,-62.489494
69,-63.63166,-61.596367
70,-62.375515,-62.42883
71,-62.79038,-61.540516
72,-86.919754,2.403923
73,-87.06697,2.2134762
74,-63.69871,-61.395454
75,-64.6922,-61.26379
76,-61.857784,-62.158146
77,-62.06225,-62.321243
78,-63.982693,-61.563354
79,-61.980263,-62.106033
80,-63.44906,-61.615364
81,-58.11841,-62.143368
82,-64.31364,-61.51326
83,-31.84333,-37.04619
84,5.6410136,74.73358
85,66.32076,42.150608
86,65.314316,40.308865
87,32.259476,63.000824
88,65.318954,40.33627
89,65.3653,40.203945
90,65.42178,40.326244
91,65.42178,40.326244
92,66.36594,40.524628
93,65.32291,40.22216
94,65.32291,40.22216
95,-42.68958,-0.7397622
96,-3.1097605,60.709564
97,-38.064533,-39.01982
98,-38.064533,-39.01982
99,-36.20819,-36.96219
100,29.376955,-30.555002
101,8.77315,-46.092354
102,-34.344334,41.735954
103,63.38813,17.794823
104,13.172947,62.483025
105,-81.233406,-14.318691
106,-81.0285,-14.061084
107,-81.233406,-14.318691
108,-80.61546,-13.7797785
109,-80.61546,-13.7797785
110,-68.69855,18.3696
111,-68.69855,18.3696
112,58.57055,-51.95973
113,24.868725,4.8446283
114,25.063238,5.150487
115,16.79476,-17.522734
116,-0.23980595,-3.3257194
117,24.137056,68.40181
118,26.165075,6.2886543
119,14.312162,2.6968517
120,25.908579,34.558556
121,-5.656689,13.092051
122,20.112537,19.369862
123,-77.09503,1.7089623
124,-77.05158,1.6692145
125,-77.145996,5.065179
126,-53.447277,43.58204
127,-78.29422,5.6762357
128,-81.15613,-1.7624513
129,-54.057785,41.66393
130,-71.808914,-8.008374
131,-71.88635,-7.9223256
132,-79.69567,-2.645035
133,-78.41528,-6.5251765
134,-78.084915,-6.494529
135,-76.31749,-6.216499
136,-78.156105,-5.907267
137,-77.86677,-7.2703824
138,-77.55929,-10.195741
139,-72.393974,-6.8695803
140,-72.41057,-7.0830407
141,-78.06786,4.8682804
142,-78.497284,3.365196
143,-79.798416,-14.483813
144,-79.798416,-14.483813
145,-76.62243,-4.629012
146,-76.622444,-4.6290345
147,-72.09071,10.777858
148,-69.46199,-12.160506
149,-61.913586,-32.31478
150,-59.83385,-38.982624
151,-73.136795,8.143943
152,-73.24411,8.189221
153,-72.44358,7.755461
154,-69.131256,-12.446523
155,-75.34025,-1.6356342
156,-58.78169,15.525194
157,-48.252907,48.256275
158,-66.31176,12.587477
159,-65.34404,8.4913845
160,-50.221348,45.38757
161,-70.892784,10.745378
162,-53.56914,-13.376124
163,8.734039,19.268108
164,24.586115,47.309742
165,33.688534,58.118214
166,22.479248,47.094658
167,24.749363,48.058434
168,27.640232,48.489307
169,0.63509667,39.68601
170,17.268398,49.138138
171,20.291666,48.4203
172,19.847502,55.001537
173,21.0708,55.823853
174,17.218096,49.15506
175,19.19356,48.93519
176,17.358171,49.144638
177,17.120169,49.186626
178,21.64817,49.392147
179,16.365564,51.050022
180,22.479248,47.094658
181,-46.659527,11.6074295
182,-46.659573,11.607402
183,-48.099415,14.352681
184,-63.377563,34.574486
185,-45.457138,9.840351
186,-40.11982,-16.158514
187,-40.20619,-15.984897
188,-38.373333,-17.088272
189,-38.37335,-17.088217
190,-41.573315,-22.447742
191,-40.900764,-17.60788
192,15.474662,51.742348
193,-35.419613,-33.935806
194,-42.06998,-55.27272
195,-37.31247,-38.02553
196,-37.31247,-38.02553
197,-33.488575,-39.780956
198,-44.26957,-50.279243
199,-44.268597,-50.28704
200,-32.36062,-38.102074
201,-32.36062,-38.102074
202,-34.62984,-35.287716
203,-37.949806,-39.277508
204,30.051737,73.99485
205,21.066856,72.09637
206,29.400963,74.20552
207,29.960667,74.20591
208,26.619753,72.973656
209,29.556837,74.264946
210,26.829994,73.10751
211,33.062172,68.96761
212,20.528214,63.27217
213,33.3162,67.60305
214,20.554495,63.29244
215,0.76060134,0.707769
216,0.77762717,0.70715386
217,-0.016854122,0.8024034
218,-69.71907,11.614653
219,37.51428,30.150627
220,-66.797516,8.7049055
221,-14.926926,-7.4363623
222,-32.5007,1.9524693
223,-79.28394,-11.135443
224,-86.04774,-14.05912
225,-27.688515,-9.273819
226,-79.275505,-11.309618
227,-46.452103,58.166603
228,-78.3653,-1.5024945
229,-38.627018,3.5730042
230,-66.27164,8.297764
231,13.798002,57.278744
232,-16.64581,-5.818054
233,-60.91756,-36.81337
234,-76.78962,5.162347
235,19.527264,59.40125
236,15.610829,61.337147
237,13.144778,50.241867
238,-58.193302,-2.354619
239,21.783981,52.64216
240,-4.557171,60.01055
241,-14.166008,3.5961442
242,-18.719725,65.07452
243,-5.4909782,-1.8780861
244,-29.26508,12.04348
245,-1.9080514,57.16713
246,-29.515308,12.110648
247,-6.5274167,71.907394
248,-13.693101,5.398321
249,-68.42702,2.2659318
250,-68.381744,2.1847901
251,-9.049606,62.823875
252,-13.873399,3.5912936
253,-29.892206,12.198336
254,-6.734686,63.36969
255,-23.97441,7.9063053
256,-64.99518,-0.007490132
257,-64.97133,-0.026860807
258,-5.1045685,72.05854
259,-13.865385,3.589468
260,-33.129433,41.90558
261,-29.833761,12.1784315
262,-44.27385,51.221424
263,-35.12203,53.925213
264,-14.001342,3.7548773
265,-59.72341,-0.70617485
266,-14.211889,66.21417
267,-14.069172,3.8570464
268,-30.047924,12.196222
269,-21.637115,-7.676277
270,-21.607649,-7.6990075
271,-23.467562,-7.9429584
272,-7.510424,71.47801
273,-25.804585,-4.753509
274,-38.539944,-2.5355906
275,-20.523077,-7.0118766
276,-20.09614,-6.611878
277,-22.903969,-13.614456
278,-1.2973049,0.32104653
279,-38.463722,-2.558994
280,-18.916777,-8.34999
281,-25.780743,-9.280801
282,-22.339397,-6.019296
283,-16.934332,-12.902058
284,-21.411133,-9.77254
285,-27.696177,-10.668981
286,-19.95416,-5.249603
287,-17.38687,3.228542
288,-27.20925,-8.5934
289,-25.40597,-7.478476
290,-17.95206,6.298708
291,-63.606556,-23.598728
292,-54.706802,-17.215977
293,-20.070576,-5.6030545
294,-18.222836,4.99957
295,-26.468494,-6.5194883
296,-40.246593,7.227914
297,-23.051208,-4.798341
298,-27.221046,-9.86812
299,-25.322186,-9.750646
300,-23.042135,-7.2188144
301,-9.779667,-6.0443983
302,-9.855714,-5.597845
303,-10.603304,-6.9278073
304,-25.974417,-9.529389
305,-39.40273,-10.710836
306,-39.5009,-10.558536
307,-22.83705,-7.034762
308,-20.629002,-7.005707
309,-21.286255,-7.4996457
310,-20.888256,-7.2205677
311,-38.984634,-8.952745
312,-41.205452,-11.096453
313,-22.163618,-7.8546143
314,-26.87131,-11.2357645
315,-38.10375,-5.884038
316,-38.1521,-5.4995546
317,-64.55317,0.01881279
318,-63.481552,0.5345163
319,-64.49246,1.0206026
320,-77.80882,3.645788
321,-77.432755,2.7533693
322,-49.746513,-0.1650324
323,-23.216253,3.604213
324,-77.986855,4.8230295
325,-77.21779,2.8750982
326,-80.7473,0.5308044
327,-80.935394,-0.10727721
328,-64.00414,0.69024116
329,-64.400345,7.424969
330,-80.48286,1.2031431
331,-80.61841,0.9000956
332,-80.91543,0.0674171
333,-81.49933,-0.4203856
334,-70.44469,4.450053
335,-81.517006,-0.47354004
336,31.659437,73.79278
337,-35.7512,53.031013
338,-3.0551438,69.64935
339,-78.55573,-2.159834
340,-77.08663,4.2124667
341,-73.591805,3.614512
342,-79.72341,-2.6711478
343,-79.68515,-2.584679
344,-79.44646,-1.9821385
345,-79.49931,-2.1565194
346,-86.33372,-10.33256
347,-76.94935,-1.6251514
348,-79.26527,-12.383141
349,-78.91362,-13.842739
350,-86.333725,-10.332556
351,-83.33369,-16.993975
352,-83.55132,-17.324467
353,-85.30891,-18.100584
354,-78.7369,-14.666603
355,-80.733505,0.57779324
356,-80.92242,0.030678205
357,-67.13735,7.2656097
358,-74.89808,3.6975625
359,-76.40827,-3.6957664
360,-78.53105,3.9412873
361,-81.02304,0.87412274
362,-80.30874,-0.5311873
363,-78.49454,4.256532
364,-62.590374,-4.323418
365,-62.590412,-4.323498
366,-77.62442,-14.150428
367,-76.656075,-14.108072
368,-76.872795,-13.112464
369,-77.53137,-14.398481
370,-79.62948,5.025651
371,-79.70673,4.865142
372,-72.88931,4.20748
373,-72.87739,4.1111093
374,-74.44443,0.79334784
375,-74.528595,0.6807845
376,-60.42175,-5.2353854
377,-74.462616,-9.983074
378,-65.85951,7.5100183
379,-83.39204,-2.5773883
380,-22.267424,-13.542824
381,-56.786686,-32.34228
382,-27.8155,-69.49803
383,-65.96788,34.70219
384,-79.62342,-13.61194
385,-82.33866,-16.492151
386,-81.248764,-14.5425625
387,-79.23166,-14.721819
388,-84.87622,-12.6934805
389,-78.44672,4.079076
390,-81.94559,-14.5153265
391,-76.9144,-12.649022
392,-79.34094,-10.729123
393,-81.256096,-13.902844
394,-70.50891,-16.40377
395,-74.01264,-12.488901
396,-66.659546,-13.713219
397,-67.71851,-12.588897
398,-71.746475,-12.079785
399,-69.82495,-16.850275
400,-72.5962,2.4006152
401,-83.453735,-13.690175
402,-68.59211,-15.278054
403,-86.20421,-13.383824
404,-15.559312,4.140846
405,-19.017067,-6.8406563
406,-0.47960103,-23.253302
407,-0.47960436,-23.253292
408,26.61352,-13.689726
409,23.252577,-32.76947
410,23.027405,-33.035416
411,1.684985,-21.83403
412,1.6776713,-21.837326
413,25.62202,-66.22084
414,4.8805814,-31.035046
415,27.924143,-16.23575
416,31.993216,-52.99741
417,13.489564,-21.350065
418,13.489505,-21.350039
419,-0.30617148,-23.898228
420,-29.385138,-12.320295
421,-38.76543,3.4833467
422,-64.22016,0.739066
423,-1.4763716,63.27233
424,-70.81695,-10.750241
425,-77.81461,-6.6448374
426,-44.07699,7.9530163
427,-40.828983,9.18073
428,-62.279778,-10.950219
429,-65.1102,-12.142793
430,-32.951523,61.506763
431,-66.69039,10.227694
432,-19.44531,8.794897
433,-32.94889,54.127472
434,-59.153675,38.843193
435,-11.116236,45.73512
436,-11.65367,64.32646
437,-76.718735,-9.9102335
438,-21.587074,-10.328244
439,-24.835348,-5.440061
440,-52.78752,-20.605106
441,-45.247868,-16.350657
442,-62.68831,-27.057331
443,-61.3004,-32.82785
444,-56.013332,-2.1925714
445,-56.559948,-2.9742362
446,-46.376057,-24.225166
447,-20.117458,-5.464915
448,-56.4917,-33.81236
449,-57.344143,-32.212364
450,-50.141243,-21.52195
451,-60.40379,-21.547804
452,-38.582508,-17.965326
453,-26.866735,-15.502718
454,-60.205994,-33.24739
455,-60.222878,-32.70681
456,-60.741665,-5.0920033
457,-60.856743,-5.469397
458,-13.719526,5.151657
459,-14.847542,5.034169
460,53.416695,4.4472804
461,30.153196,7.7187567
462,45.430603,21.986055
463,-7.228219,-41.410126
464,44.910294,10.232136
465,-28.277134,50.388573
466,-27.541086,50.602016
467,-27.55907,50.959766
468,-25.068321,52.74984
469,-27.052706,49.461292
470,-28.233395,49.974308
471,-28.079594,50.50764
472,-27.598871,50.61283
473,-27.598871,50.61283
474,-27.598871,50.61283
475,-26.72676,49.868904
476,-50.05047,53.12591
477,-3.2036378,36.869713
478,-3.5134678,36.71468
479,28.342821,45.66218
480,45.7568,54.035255
481,-37.710045,-24.622501
482,-38.11915,-23.117523
483,-30.697647,-31.609568
484,-55.76494,-42.86872
485,-55.195053,-42.748325
486,-50.505825,-46.314384
487,-44.12922,-52.59254
488,-44.48025,-51.92683
489,-36.349834,-41.275402
490,-37.577915,-28.75452
491,0.17246182,40.028824
492,-40.0968,48.588203
493,-66.45033,8.946129
494,6.57659,8.783571
495,29.806189,91.325516
496,16.386555,-17.544632
497,-37.56858,60.890503
498,-33.686653,60.90707
499,-31.073648,63.655693
500,-58.278,14.711493
501,-40.832134,59.12247
502,-32.13196,-36.97223
503,11.631252,-45.35161
504,4.482949,-48.259476
505,-2.4277017,-54.439804
506,-5.7792244,-56.006065
507,-47.10499,24.558558
508,-47.10499,24.558558
509,-48.916115,45.074757
510,-37.892002,72.872665
511,-5.0892034,13.513826
512,-47.56108,14.769882
513,-47.61437,14.6354
514,-9.590576,12.013625
515,-3.0143998,13.568075
516,-26.744204,17.334639
517,-34.93138,17.950388
518,-33.283825,9.882202
519,-44.917385,24.959171
520,-44.917427,24.959051
521,-45.00522,13.051411
522,-36.919464,71.96263
523,-42.75102,25.528078
524,-42.75102,25.528093
525,-45.005337,13.05145
526,-35.71942,70.945885
527,-34.743084,17.62137
528,-43.387142,26.064035
529,-43.387142,26.064035
530,-44.87061,12.1301365
531,-35.999847,71.389366
532,-42.411903,19.906487
533,-40.149136,24.179459
534,-40.149136,24.179459
535,-33.059776,68.621346
536,-43.795902,22.627148
537,-43.795982,22.625978
538,-45.01503,21.61616
539,-45.018265,21.616045
540,-36.41093,71.37805
541,-43.044636,24.780563
542,-43.034065,24.778032
543,-42.2523,11.387908
544,-36.80347,72.31658
545,-46.860764,25.210514
546,-46.86077,25.210512
547,-37.990112,73.48883
548,-32.099274,-29.517805
549,-32.099274,-29.517805
550,-32.37745,-30.009922
551,-43.044636,24.780563
552,-43.04444,24.780508
553,-40.52462,22.782524
554,-40.694138,22.816105
555,-44.035484,11.675775
556,-44.035484,11.675775
557,-36.254677,71.8456
558,-46.732212,25.313656
559,-46.731956,25.313805
560,-37.530663,73.25051
561,-10.979344,-10.365709
562,-45.02366,-51.857082
563,-42.577133,26.52719
564,-40.99328,25.599123
565,-44.401386,21.651525
566,-34.911385,70.86095
567,-40.630566,11.8832035
568,-40.630573,11.8832035
569,-41.087566,10.871809
570,-42.91111,27.05464
571,-42.91111,27.05464
572,-36.50875,71.38696
573,-40.555893,22.328476
574,-43.07464,27.688429
575,-43.07464,27.688429
576,-43.07824,27.817324
577,-42.214172,26.629698
578,-41.989418,26.563942
579,-39.15288,21.099953
580,-43.19768,11.452318
581,-43.203358,11.455462
582,-36.518803,71.283455
583,-36.860264,-40.847027
584,-39.51727,-38.12589
585,-40.795364,9.945351
586,-48.879646,-25.625177
587,-41.958385,26.280163
588,-41.958385,26.280163
589,-36.32782,71.29922
590,-51.63076,-47.734737
591,-48.0898,-24.148201
592,-46.65813,-22.40311
593,-46.658184,-22.403057
594,-51.227253,-41.088364
595,-52.321434,-49.378742
596,-51.457973,-41.330185
597,-52.13873,-48.836407
598,-44.547337,-22.990637
599,-47.224617,-22.403225
600,-50.045834,-25.316423
601,-50.045834,-25.316423
602,-43.097733,-24.080515
603,-46.658184,-22.403057
604,-46.658215,-22.403004
605,-54.75074,-40.615715
606,-52.321434,-49.378742
607,-54.75074,-40.615715
608,-52.321434,-49.378742
609,-47.590347,-23.1348
610,-50.045834,-25.316423
611,-50.04449,-25.316559
612,-48.32021,-24.750677
613,-44.067833,26.42954
614,-44.067833,26.42954
615,-45.64316,21.466131
616,-36.855446,72.263885
617,-40.174625,25.923004
618,-40.174625,25.923004
619,-32.527348,69.6951
620,23.141653,60.08186
621,30.814526,65.99708
622,-8.705934,-43.542114
623,4.865614,-57.20599
